From,To,Count,Area_km2,Period
5,5,2643267,237894.03,1992-1993
5,13,289,26.009999999999998,1992-1993
7,7,4569752,411277.68,1992-1993
7,13,288,25.919999999999998,1992-1993
8,8,22527721,2027494.89,1992-1993
8,13,6629,596.61,1992-1993
9,9,162771,14649.39,1992-1993
9,13,48,4.32,1992-1993
11,11,2089,188.01,1992-1993
12,12,14885972,1339737.48,1992-1993
12,13,2970,267.3,1992-1993
13,13,437519,39376.71,1992-1993
15,13,164,14.76,1992-1993
15,15,39454926,3550943.34,1992-1993
16,16,22194,1997.46,1992-1993
20,13,586,52.739999999999995,1992-1993
20,20,11051080,994597.2,1992-1993
5,5,2642929,237863.61,1993-1994
5,13,338,30.419999999999998,1993-1994
7,7,4569412,411247.07999999996,1993-1994
7,13,340,30.599999999999998,1993-1994
8,8,22520229,2026820.6099999999,1993-1994
8,13,7492,674.28,1993-1994
9,9,162734,14646.06,1993-1994
9,13,37,3.33,1993-1994
11,11,2088,187.92,1993-1994
11,13,1,0.09,1993-1994
12,12,14882692,1339442.28,1993-1994
12,13,3280,295.2,1993-1994
13,13,448493,40364.369999999995,1993-1994
15,13,187,16.83,1993-1994
15,15,39454739,3550926.51,1993-1994
16,16,22194,1997.46,1993-1994
20,13,577,51.93,1993-1994
20,20,11050503,994545.27,1993-1994
5,5,2625442,236289.78,1994-1995
5,7,45,4.05,1994-1995
5,8,9301,837.0899999999999,1994-1995
5,12,6920,622.8,1994-1995
5,13,303,27.27,1994-1995
5,15,47,4.2299999999999995,1994-1995
5,20,871,78.39,1994-1995
7,5,766,68.94,1994-1995
7,7,4564649,410818.41,1994-1995
7,8,685,61.65,1994-1995
7,12,995,89.55,1994-1995
7,13,356,32.04,1994-1995
7,20,1961,176.48999999999998,1994-1995
8,5,2459,221.31,1994-1995
8,7,2770,249.29999999999998,1994-1995
8,8,22425533,2018297.97,1994-1995
8,9,5,0.44999999999999996,1994-1995
8,12,1919,172.70999999999998,1994-1995
8,13,8470,762.3,1994-1995
8,15,76,6.84,1994-1995
