year,code,count,class,area_km2,pct
1992,5,2643556,Shrubland,237920.03999999998,2.760367434869996
1992,7,4570040,Grassland,411303.6,4.7719774394994
1992,8,22534350,Cropland,2028091.5,23.530080658765197
1992,9,162819,Wetland,14653.71,0.17001352170262246
1992,11,2089,Lichens & Mosses,188.01,0.002181307137599287
1992,12,14888942,Bareland,1340004.78,15.546843205314412
1992,13,437519,Built-up,39376.71,0.4568517556416
1992,15,39455090,Water,3550958.1,41.19850140336154
1992,16,22194,Ice/Snow,1997.46,0.023174691532732685
1992,20,11051666,Forest,994649.94,11.540008582174899
1993,5,2643267,Shrubland,237894.03,2.7600656647585713
1993,7,4569752,Grassland,411277.68,4.771676713575212
1993,8,22527721,Cropland,2027494.89,23.523158741572693
1993,9,162771,Wetland,14649.39,0.1699634007152578
1993,11,2089,Lichens & Mosses,188.01,0.002181307137599287
1993,12,14885972,Bareland,1339737.48,15.543741969221223
1993,13,448493,Built-up,40364.369999999995,0.46831066637784446
1993,15,39454926,Water,3550943.34,41.19833015665471
1993,16,22194,Ice/Snow,1997.46,0.023174691532732685
1993,20,11051080,Forest,994597.2,11.539396688454156
1994,5,2642929,Shrubland,237863.61,2.759712729472545
1994,7,4569412,Grassland,411247.07999999996,4.771321689914712
1994,8,22520229,Cropland,2026820.6099999999,23.51533569079486
1994,9,162734,Wetland,14646.06,0.16992476578749754
1994,11,2088,Lichens & Mosses,187.92,0.0021802629503625236
1994,12,14882692,Bareland,1339442.28,15.54031703508464
1994,13,460745,Built-up,41467.049999999996,0.48110404840267285
1994,15,39454739,Water,3550926.51,41.19813489364144
1994,16,22194,Ice/Snow,1997.46,0.023174691532732685
1994,20,11050503,Forest,994545.27,11.538794192418543
1995,5,2635847,Shrubland,237226.22999999998,2.7523177954617846
1995,7,4587044,Grassland,412833.95999999996,4.789732799273329
1995,8,22523204,Cropland,2027088.3599999999,23.518442147824228
1995,9,162058,Wetland,14585.22,0.1692188952154453
1995,11,2088,Lichens & Mosses,187.92,0.0021802629503625236
1995,12,14888643,Bareland,1339977.8699999999,15.54653099333062
1995,13,473794,Built-up,42641.46,0.4947296476552019
1995,15,39450108,Water,3550509.7199999997,41.19329926254798
1995,16,22194,Ice/Snow,1997.46,0.023174691532732685
1995,20,11023285,Forest,992095.6499999999,11.51037350420831
1996,5,2627945,Shrubland,236515.05,2.7440666279168786
1996,7,4595235,Grassland,413571.14999999997,4.79828573692966
1996,8,22506559,Cropland,2025590.3099999998,23.501061651268298
1996,9,161840,Wetland,14565.6,0.16899126239783085
1996,11,2088,Lichens & Mosses,187.92,0.0021802629503625236
1996,12,14885973,Bareland,1339737.57,15.54374301340846
1996,13,487493,Built-up,43874.369999999995,0.5090339686116272
1996,15,39445760,Water,3550118.4,41.188759136442535
1996,16,22194,Ice/Snow,1997.46,0.023174691532732685
1996,20,11033178,Forest,992986.02,11.520703648541613
1997,5,2623747,Shrubland,236137.22999999998,2.739683129896944
1997,7,4602110,Grassland,414189.89999999997,4.80546452418241
1997,8,22499875,Cropland,2024988.75,23.49408230377777
1997,9,161671,Wetland,14550.39,0.16881479475481778
1997,11,2088,Lichens & Mosses,187.92,0.0021802629503625236
1997,12,14883500,Bareland,1339515.0,15.541160738371945
1997,13,501936,Built-up,45174.24,0.5241151648722048
1997,15,39445148,Water,3550063.32,41.188120093853634
1997,16,22194,Ice/Snow,1997.46,0.023174691532732685
1997,20,11025996,Forest,992339.64,11.513204295807176
1998,5,2612081,Shrubland,235087.28999999998,2.7275016415928595
1998,7,4625730,Grassland,416315.7,4.830128226714768
1998,8,22510639,Cropland,2025957.51,23.505321935194296
1998,9,161484,Wetland,14533.56,0.16861953174154298
