From,To,Count,Area_km2,From_Label,To_Label,Period
5,5,504899758,454409.7822,Shrubland,Shrubland,1985-1990
5,7,3252643,2927.3787,Shrubland,Grassland,1985-1990
5,8,12548159,11293.3431,Shrubland,Cropland,1985-1990
5,9,644007,579.6063,Shrubland,Wetland,1985-1990
5,12,612650,551.385,Shrubland,Bareland,1985-1990
5,13,344201,309.7809,Shrubland,Built-up,1985-1990
5,15,141115,127.0035,Shrubland,Water,1985-1990
5,16,40396,36.3564,Shrubland,Permanent ice and snow,1985-1990
5,20,7932248,7139.0232,Shrubland,Forest,1985-1990
7,5,3572039,3214.8351,Grassland,Shrubland,1985-1990
7,7,563698270,507328.443,Grassland,Grassland,1985-1990
7,8,18380533,16542.4797,Grassland,Cropland,1985-1990
7,9,348793,313.9137,Grassland,Wetland,1985-1990
7,12,1328609,1195.7481,Grassland,Bareland,1985-1990
7,13,306905,276.2145,Grassland,Built-up,1985-1990
7,15,77100,69.39,Grassland,Water,1985-1990
7,16,751,0.6759,Grassland,Permanent ice and snow,1985-1990
7,20,3254529,2929.0761,Grassland,Forest,1985-1990
8,5,12674439,11406.9951,Cropland,Shrubland,1985-1990
8,7,17833575,16050.2175,Cropland,Grassland,1985-1990
8,8,1861165732,1675049.1588,Cropland,Cropland,1985-1990
8,9,1969432,1772.4888,Cropland,Wetland,1985-1990
8,12,1791950,1612.755,Cropland,Bareland,1985-1990
8,13,3274574,2947.1166,Cropland,Built-up,1985-1990
8,15,811181,730.0629,Cropland,Water,1985-1990
8,16,2684,2.4156,Cropland,Permanent ice and snow,1985-1990
8,20,15698051,14128.2459,Cropland,Forest,1985-1990
9,5,463744,417.3696,Wetland,Shrubland,1985-1990
9,7,87898,79.1082,Wetland,Grassland,1985-1990
9,8,1376462,1238.8158,Wetland,Cropland,1985-1990
9,9,23919032,21527.1288,Wetland,Wetland,1985-1990
9,12,276251,248.6259,Wetland,Bareland,1985-1990
9,13,31464,28.3176,Wetland,Built-up,1985-1990
9,15,1439305,1295.3745,Wetland,Water,1985-1990
9,20,488354,439.5186,Wetland,Forest,1985-1990
11,11,1,0.0009,Lichens and Mosses,Lichens and Mosses,1985-1990
12,5,709903,638.9127,Bareland,Shrubland,1985-1990
12,7,2039563,1835.6067,Bareland,Grassland,1985-1990
12,8,2642633,2378.3697,Bareland,Cropland,1985-1990
12,9,1288500,1159.65,Bareland,Wetland,1985-1990
12,12,1227909411,1105118.4699,Bareland,Bareland,1985-1990
