Period,From,From_Label,To,To_Label,Area_km2
1985-1990,5,Shrubland,5,Shrubland,454409.7822
1985-1990,5,Shrubland,7,Grassland,2927.3787
1985-1990,5,Shrubland,8,Cropland,11293.3431
1985-1990,5,Shrubland,9,Wetland,579.6063
1985-1990,5,Shrubland,12,Bareland,551.385
1985-1990,5,Shrubland,13,Built-up,309.7809
1985-1990,5,Shrubland,15,Water,127.0035
1985-1990,5,Shrubland,16,Permanent ice and snow,36.3564
1985-1990,5,Shrubland,20,Forest,7139.0232
1985-1990,7,Grassland,5,Shrubland,3214.8351
1985-1990,7,Grassland,7,Grassland,507328.443
1985-1990,7,Grassland,8,Cropland,16542.4797
1985-1990,7,Grassland,9,Wetland,313.9137
1985-1990,7,Grassland,12,Bareland,1195.7481
1985-1990,7,Grassland,13,Built-up,276.2145
1985-1990,7,Grassland,15,Water,69.39
1985-1990,7,Grassland,16,Permanent ice and snow,0.6759
1985-1990,7,Grassland,20,Forest,2929.0761
1985-1990,8,Cropland,5,Shrubland,11406.9951
1985-1990,8,Cropland,7,Grassland,16050.2175
1985-1990,8,Cropland,8,Cropland,1675049.1588
1985-1990,8,Cropland,9,Wetland,1772.4888
1985-1990,8,Cropland,12,Bareland,1612.755
1985-1990,8,Cropland,13,Built-up,2947.1166
1985-1990,8,Cropland,15,Water,730.0629
1985-1990,8,Cropland,16,Permanent ice and snow,2.4156
1985-1990,8,Cropland,20,Forest,14128.2459
1985-1990,9,Wetland,5,Shrubland,417.3696
1985-1990,9,Wetland,7,Grassland,79.1082
1985-1990,9,Wetland,8,Cropland,1238.8158
1985-1990,9,Wetland,9,Wetland,21527.1288
1985-1990,9,Wetland,12,Bareland,248.6259
1985-1990,9,Wetland,13,Built-up,28.3176
1985-1990,9,Wetland,15,Water,1295.3745
1985-1990,9,Wetland,20,Forest,439.5186
1985-1990,11,Lichens and Mosses,11,Lichens and Mosses,0.0009
1985-1990,12,Bareland,5,Shrubland,638.9127
1985-1990,12,Bareland,7,Grassland,1835.6067
1985-1990,12,Bareland,8,Cropland,2378.3697
1985-1990,12,Bareland,9,Wetland,1159.65
1985-1990,12,Bareland,12,Bareland,1105118.4699
1985-1990,12,Bareland,13,Built-up,94.0887
1985-1990,12,Bareland,15,Water,256.4649
1985-1990,12,Bareland,16,Permanent ice and snow,37.9719
1985-1990,12,Bareland,20,Forest,10.9134
1985-1990,13,Built-up,5,Shrubland,0.0216
1985-1990,13,Built-up,7,Grassland,0.1467
1985-1990,13,Built-up,8,Cropland,0.7974
1985-1990,13,Built-up,9,Wetland,3.1068
1985-1990,13,Built-up,12,Bareland,0.0009
1985-1990,13,Built-up,13,Built-up,60203.1213
1985-1990,13,Built-up,15,Water,0.5283
1985-1990,13,Built-up,16,Permanent ice and snow,0.1827
1985-1990,13,Built-up,20,Forest,4.9932
1985-1990,15,Water,5,Shrubland,100.3311
1985-1990,15,Water,7,Grassland,13.5099
1985-1990,15,Water,8,Cropland,335.1456
1985-1990,15,Water,9,Wetland,11424.2256
1985-1990,15,Water,12,Bareland,163.8792
1985-1990,15,Water,13,Built-up,31.5378
1985-1990,15,Water,15,Water,3524455.8108
1985-1990,15,Water,16,Permanent ice and snow,40.7934
1985-1990,15,Water,20,Forest,215.5536
1985-1990,16,Permanent ice and snow,5,Shrubland,25.3998
1985-1990,16,Permanent ice and snow,7,Grassland,0.5598
1985-1990,16,Permanent ice and snow,8,Cropland,1.1034
1985-1990,16,Permanent ice and snow,9,Wetland,0.0009
1985-1990,16,Permanent ice and snow,12,Bareland,12.4038
1985-1990,16,Permanent ice and snow,13,Built-up,0.0387
1985-1990,16,Permanent ice and snow,15,Water,7.4736
1985-1990,16,Permanent ice and snow,16,Permanent ice and snow,4115.1753
1985-1990,16,Permanent ice and snow,20,Forest,5.1291
1985-1990,20,Forest,5,Shrubland,6712.2063
1985-1990,20,Forest,7,Grassland,2979.1548
1985-1990,20,Forest,8,Cropland,13822.8039
1985-1990,20,Forest,9,Wetland,546.9813
1985-1990,20,Forest,12,Bareland,7.5357
1985-1990,20,Forest,13,Built-up,206.9307
1985-1990,20,Forest,15,Water,103.4721
1985-1990,20,Forest,16,Permanent ice and snow,22.5162
1985-1990,20,Forest,20,Forest,1123651.008
1990-1995,5,Shrubland,5,Shrubland,459449.6868
1990-1995,5,Shrubland,7,Grassland,1928.8773
1990-1995,5,Shrubland,8,Cropland,8698.6233
1990-1995,5,Shrubland,9,Wetland,509.7177
1990-1995,5,Shrubland,12,Bareland,570.6693
1990-1995,5,Shrubland,13,Built-up,318.1941
1990-1995,5,Shrubland,15,Water,155.0682
1990-1995,5,Shrubland,16,Permanent ice and snow,29.322
1990-1995,5,Shrubland,20,Forest,5265.6948
1990-1995,7,Grassland,5,Shrubland,2570.2173
1990-1995,7,Grassland,7,Grassland,513333.567
1990-1995,7,Grassland,8,Cropland,11785.635
1990-1995,7,Grassland,9,Wetland,223.794
1990-1995,7,Grassland,12,Bareland,886.3137
1990-1995,7,Grassland,13,Built-up,304.2819
1990-1995,7,Grassland,15,Water,33.6411
1990-1995,7,Grassland,16,Permanent ice and snow,0.6579
1990-1995,7,Grassland,20,Forest,2076.0174
1990-1995,8,Cropland,5,Shrubland,8357.4288
1990-1995,8,Cropland,7,Grassland,10827.4725
1990-1995,8,Cropland,8,Cropland,1684927.4427
1990-1995,8,Cropland,9,Wetland,1570.032
1990-1995,8,Cropland,12,Bareland,1189.7784
1990-1995,8,Cropland,13,Built-up,3528.036
1990-1995,8,Cropland,15,Water,749.1195
1990-1995,8,Cropland,16,Permanent ice and snow,1.4715
1990-1995,8,Cropland,20,Forest,9511.236
1990-1995,9,Wetland,5,Shrubland,479.2815
1990-1995,9,Wetland,7,Grassland,116.388
1990-1995,9,Wetland,8,Cropland,1144.5309
1990-1995,9,Wetland,9,Wetland,21812.0733
1990-1995,9,Wetland,12,Bareland,907.7373
1990-1995,9,Wetland,13,Built-up,40.1319
1990-1995,9,Wetland,15,Water,12383.5653
1990-1995,9,Wetland,16,Permanent ice and snow,0.0018
1990-1995,9,Wetland,20,Forest,443.3922
1990-1995,11,Lichens and Mosses,11,Lichens and Mosses,0.0009
1990-1995,12,Bareland,5,Shrubland,470.7369
1990-1995,12,Bareland,7,Grassland,1368.4113
1990-1995,12,Bareland,8,Cropland,2764.2042
1990-1995,12,Bareland,9,Wetland,720.5211
1990-1995,12,Bareland,12,Bareland,1103224.7061
1990-1995,12,Bareland,13,Built-up,106.4295
1990-1995,12,Bareland,15,Water,229.0905
1990-1995,12,Bareland,16,Permanent ice and snow,13.2543
1990-1995,12,Bareland,20,Forest,13.4496
1990-1995,13,Built-up,5,Shrubland,0.0504
1990-1995,13,Built-up,7,Grassland,0.0747
1990-1995,13,Built-up,8,Cropland,0.7389
1990-1995,13,Built-up,9,Wetland,3.1779
1990-1995,13,Built-up,12,Bareland,0.0018
1990-1995,13,Built-up,13,Built-up,64089.4131
1990-1995,13,Built-up,15,Water,1.5552
1990-1995,13,Built-up,16,Permanent ice and snow,0.0351
1990-1995,13,Built-up,20,Forest,2.1195
1990-1995,15,Water,5,Shrubland,81.0738
1990-1995,15,Water,7,Grassland,14.5314
1990-1995,15,Water,8,Cropland,267.6924
