From,To,Count,Area_km2,Period,From_label,To_label
5,5,30888,2779.92,1985-1990,Shrubland,Shrubland
5,7,458,41.22,1985-1990,Shrubland,Grassland
5,8,735,66.14999999999999,1985-1990,Shrubland,Cropland
5,9,64,5.76,1985-1990,Shrubland,Wetland
5,12,4,0.36,1985-1990,Shrubland,Bareland
5,13,214,19.259999999999998,1985-1990,Shrubland,Built-up
5,15,93,8.37,1985-1990,Shrubland,Water
5,20,1232,110.88,1985-1990,Shrubland,Forest
7,5,710,63.9,1985-1990,Grassland,Shrubland
7,7,339080,30517.199999999997,1985-1990,Grassland,Grassland
7,8,7459,671.31,1985-1990,Grassland,Cropland
7,9,3,0.27,1985-1990,Grassland,Wetland
7,13,105,9.45,1985-1990,Grassland,Built-up
7,20,7244,651.9599999999999,1985-1990,Grassland,Forest
8,5,2430,218.7,1985-1990,Cropland,Shrubland
8,7,13392,1205.28,1985-1990,Cropland,Grassland
8,8,1702489,153224.00999999998,1985-1990,Cropland,Cropland
8,9,975,87.75,1985-1990,Cropland,Wetland
8,12,18,1.6199999999999999,1985-1990,Cropland,Bareland
8,13,7624,686.16,1985-1990,Cropland,Built-up
8,15,908,81.72,1985-1990,Cropland,Water
8,20,17241,1551.69,1985-1990,Cropland,Forest
9,5,3,0.27,1985-1990,Wetland,Shrubland
9,8,190,17.099999999999998,1985-1990,Wetland,Cropland
9,9,1538,138.42,1985-1990,Wetland,Wetland
9,12,1,0.09,1985-1990,Wetland,Bareland
9,15,148,13.32,1985-1990,Wetland,Water
9,20,249,22.41,1985-1990,Wetland,Forest
12,5,14,1.26,1985-1990,Bareland,Shrubland
12,8,29,2.61,1985-1990,Bareland,Cropland
12,9,48,4.32,1985-1990,Bareland,Wetland
12,12,118,10.62,1985-1990,Bareland,Bareland
12,13,6,0.54,1985-1990,Bareland,Built-up
12,15,21,1.89,1985-1990,Bareland,Water
12,20,22,1.98,1985-1990,Bareland,Forest
13,13,81222,7309.98,1985-1990,Built-up,Built-up
13,20,1,0.09,1985-1990,Built-up,Forest
15,5,3,0.27,1985-1990,Water,Shrubland
15,8,33,2.9699999999999998,1985-1990,Water,Cropland
15,9,552,49.68,1985-1990,Water,Wetland
15,12,8,0.72,1985-1990,Water,Bareland
15,15,553,49.769999999999996,1985-1990,Water,Water
15,20,27,2.4299999999999997,1985-1990,Water,Forest
20,5,2035,183.15,1985-1990,Forest,Shrubland
20,7,9692,872.28,1985-1990,Forest,Grassland
20,8,14637,1317.33,1985-1990,Forest,Cropland
20,9,204,18.36,1985-1990,Forest,Wetland
20,12,1,0.09,1985-1990,Forest,Bareland
20,13,17,1.53,1985-1990,Forest,Built-up
20,15,176,15.84,1985-1990,Forest,Water
20,20,2359632,212366.88,1985-1990,Forest,Forest
5,5,30291,2726.19,1990-1995,Shrubland,Shrubland
5,7,977,87.92999999999999,1990-1995,Shrubland,Grassland
5,8,2228,200.51999999999998,1990-1995,Shrubland,Cropland
5,9,8,0.72,1990-1995,Shrubland,Wetland
5,12,7,0.63,1990-1995,Shrubland,Bareland
5,13,232,20.88,1990-1995,Shrubland,Built-up
5,15,30,2.6999999999999997,1990-1995,Shrubland,Water
5,20,2310,207.9,1990-1995,Shrubland,Forest
7,5,866,77.94,1990-1995,Grassland,Shrubland
7,7,344868,31038.12,1990-1995,Grassland,Grassland
7,8,10813,973.17,1990-1995,Grassland,Cropland
7,9,2,0.18,1990-1995,Grassland,Wetland
7,12,1,0.09,1990-1995,Grassland,Bareland
7,13,67,6.029999999999999,1990-1995,Grassland,Built-up
7,15,1,0.09,1990-1995,Grassland,Water
7,20,6004,540.36,1990-1995,Grassland,Forest
8,5,2015,181.35,1990-1995,Cropland,Shrubland
8,7,11375,1023.75,1990-1995,Cropland,Grassland
8,8,1695581,152602.29,1990-1995,Cropland,Cropland
8,9,225,20.25,1990-1995,Cropland,Wetland
8,12,29,2.61,1990-1995,Cropland,Bareland
8,13,5897,530.73,1990-1995,Cropland,Built-up
8,15,556,50.04,1990-1995,Cropland,Water
8,20,9894,890.4599999999999,1990-1995,Cropland,Forest
9,5,2,0.18,1990-1995,Wetland,Shrubland
9,8,126,11.34,1990-1995,Wetland,Cropland
9,9,1766,158.94,1990-1995,Wetland,Wetland
9,12,1,0.09,1990-1995,Wetland,Bareland
9,13,1,0.09,1990-1995,Wetland,Built-up
9,15,1335,120.14999999999999,1990-1995,Wetland,Water
9,20,153,13.77,1990-1995,Wetland,Forest
12,5,9,0.8099999999999999,1990-1995,Bareland,Shrubland
12,8,20,1.7999999999999998,1990-1995,Bareland,Cropland
12,9,3,0.27,1990-1995,Bareland,Wetland
12,12,97,8.73,1990-1995,Bareland,Bareland
12,15,6,0.54,1990-1995,Bareland,Water
12,20,15,1.3499999999999999,1990-1995,Bareland,Forest
13,13,89186,8026.74,1990-1995,Built-up,Built-up
13,20,2,0.18,1990-1995,Built-up,Forest
15,5,1,0.09,1990-1995,Water,Shrubland
15,8,5,0.44999999999999996,1990-1995,Water,Cropland
15,9,13,1.17,1990-1995,Water,Wetland
15,15,1877,168.93,1990-1995,Water,Water
15,20,3,0.27,1990-1995,Water,Forest
20,5,1850,166.5,1990-1995,Forest,Shrubland
20,7,11604,1044.36,1990-1995,Forest,Grassland
20,8,24213,2179.17,1990-1995,Forest,Cropland
20,9,197,17.73,1990-1995,Forest,Wetland
20,12,1,0.09,1990-1995,Forest,Bareland
20,13,7,0.63,1990-1995,Forest,Built-up
20,15,318,28.619999999999997,1990-1995,Forest,Water
20,20,2347458,211271.22,1990-1995,Forest,Forest
5,5,13457,1211.1299999999999,1995-2000,Shrubland,Shrubland
5,7,1650,148.5,1995-2000,Shrubland,Grassland
5,8,5827,524.43,1995-2000,Shrubland,Cropland
5,9,84,7.56,1995-2000,Shrubland,Wetland
5,11,217,19.529999999999998,1995-2000,Shrubland,Lichens and mosses
5,12,44,3.96,1995-2000,Shrubland,Bareland
5,13,3351,301.59,1995-2000,Shrubland,Built-up
5,15,17,1.53,1995-2000,Shrubland,Water
5,20,10387,934.8299999999999,1995-2000,Shrubland,Forest
7,5,5858,527.22,1995-2000,Grassland,Shrubland
7,7,280213,25219.17,1995-2000,Grassland,Grassland
7,8,48136,4332.24,1995-2000,Grassland,Cropland
7,9,32,2.88,1995-2000,Grassland,Wetland
7,11,414,37.26,1995-2000,Grassland,Lichens and mosses
7,12,1,0.09,1995-2000,Grassland,Bareland
7,13,1491,134.19,1995-2000,Grassland,Built-up
7,15,1,0.09,1995-2000,Grassland,Water
7,20,32678,2941.02,1995-2000,Grassland,Forest
8,5,4212,379.08,1995-2000,Cropland,Shrubland
8,7,14403,1296.27,1995-2000,Cropland,Grassland
8,8,1634549,147109.41,1995-2000,Cropland,Cropland
8,9,1367,123.03,1995-2000,Cropland,Wetland
8,11,412,37.08,1995-2000,Cropland,Lichens and mosses
8,12,90,8.1,1995-2000,Cropland,Bareland
8,13,53996,4859.639999999999,1995-2000,Cropland,Built-up
8,15,793,71.36999999999999,1995-2000,Cropland,Water
8,20,23164,2084.7599999999998,1995-2000,Cropland,Forest
9,5,8,0.72,1995-2000,Wetland,Shrubland
9,8,26,2.34,1995-2000,Wetland,Cropland
9,9,2026,182.34,1995-2000,Wetland,Wetland
9,12,1,0.09,1995-2000,Wetland,Bareland
9,13,4,0.36,1995-2000,Wetland,Built-up
9,15,56,5.04,1995-2000,Wetland,Water
9,20,93,8.37,1995-2000,Wetland,Forest
12,5,16,1.44,1995-2000,Bareland,Shrubland
12,8,11,0.99,1995-2000,Bareland,Cropland
12,9,5,0.44999999999999996,1995-2000,Bareland,Wetland
12,12,26,2.34,1995-2000,Bareland,Bareland
12,13,71,6.39,1995-2000,Bareland,Built-up
12,15,1,0.09,1995-2000,Bareland,Water
12,20,6,0.54,1995-2000,Bareland,Forest
13,5,414,37.26,1995-2000,Built-up,Shrubland
13,7,115,10.35,1995-2000,Built-up,Grassland
13,8,3761,338.49,1995-2000,Built-up,Cropland
13,9,1,0.09,1995-2000,Built-up,Wetland
13,11,80,7.199999999999999,1995-2000,Built-up,Lichens and mosses
13,12,1,0.09,1995-2000,Built-up,Bareland
13,13,90988,8188.92,1995-2000,Built-up,Built-up
13,20,30,2.6999999999999997,1995-2000,Built-up,Forest
15,5,5,0.44999999999999996,1995-2000,Water,Shrubland
15,8,10,0.8999999999999999,1995-2000,Water,Cropland
15,9,62,5.58,1995-2000,Water,Wetland
15,12,10,0.8999999999999999,1995-2000,Water,Bareland
15,13,2,0.18,1995-2000,Water,Built-up
15,15,4008,360.71999999999997,1995-2000,Water,Water
15,20,26,2.34,1995-2000,Water,Forest
20,5,7370,663.3,1995-2000,Forest,Shrubland
20,7,13116,1180.44,1995-2000,Forest,Grassland
20,8,87894,7910.46,1995-2000,Forest,Cropland
20,9,857,77.13,1995-2000,Forest,Wetland
20,11,11,0.99,1995-2000,Forest,Lichens and mosses
20,12,102,9.18,1995-2000,Forest,Bareland
20,13,362,32.58,1995-2000,Forest,Built-up
20,15,196,17.64,1995-2000,Forest,Water
20,20,2255931,203033.78999999998,1995-2000,Forest,Forest
5,5,27483,2473.47,2000-2001,Shrubland,Shrubland
5,7,454,40.86,2000-2001,Shrubland,Grassland
5,8,1777,159.93,2000-2001,Shrubland,Cropland
5,9,18,1.6199999999999999,2000-2001,Shrubland,Wetland
5,11,26,2.34,2000-2001,Shrubland,Lichens and mosses
5,12,10,0.8999999999999999,2000-2001,Shrubland,Bareland
5,13,483,43.47,2000-2001,Shrubland,Built-up
5,20,1089,98.00999999999999,2000-2001,Shrubland,Forest
7,5,1203,108.27,2000-2001,Grassland,Shrubland
7,7,292709,26343.809999999998,2000-2001,Grassland,Grassland
7,8,11319,1018.7099999999999,2000-2001,Grassland,Cropland
7,11,34,3.06,2000-2001,Grassland,Lichens and mosses
7,12,1,0.09,2000-2001,Grassland,Bareland
7,13,429,38.61,2000-2001,Grassland,Built-up
7,20,3802,342.18,2000-2001,Grassland,Forest
8,5,1386,124.74,2000-2001,Cropland,Shrubland
8,7,5532,497.88,2000-2001,Cropland,Grassland
8,8,1752127,157691.43,2000-2001,Cropland,Cropland
8,9,36,3.2399999999999998,2000-2001,Cropland,Wetland
8,11,82,7.38,2000-2001,Cropland,Lichens and mosses
8,12,14,1.26,2000-2001,Cropland,Bareland
