Year,Class,Label,Count,Area_km2,Percentage
1985,5,Shrubland,30319200,0.033688,0.731624789935859
1985,7,Grassland,319140900,0.354601,7.701106688911348
1985,8,Cropland,1570569300,1.745077,37.899002420651236
1985,9,Wetland,1916100,0.002129,0.04623691456226085
1985,12,Bareland,232200,0.000258,0.005603158270109582
1985,13,Built-up,73100700,0.081223,1.7639741247019791
1985,15,Water,1058400,0.001176,0.025539977231197164
1985,20,Forest,2147754600,2.386394,51.826911925736
1990,5,Shrubland,32474700,0.036083,0.7836386041099381
1990,7,Grassland,326359800,0.362622,7.8753041016421585
1990,8,Cropland,1553014800,1.725572,37.47539931189741
1990,9,Wetland,3045600,0.003384,0.07349258754283265
1990,12,Bareland,135000,0.00015,0.003257650157040454
1990,13,Built-up,80269200,0.089188,1.9369553480408273
1990,15,Water,1709100,0.001899,0.041241850988132156
1990,20,Forest,2147083200,2.385648,51.81071054562165
1995,5,Shrubland,31530600,0.035034,0.7608567706783689
1995,7,Grassland,331941600,0.368824,8.009997076801927
1995,8,Cropland,1559687400,1.732986,37.63641410032608
1995,9,Wetland,1992600,0.002214,0.048082916317917127
1995,12,Bareland,122400,0.000136,0.0029536028090500132
1995,13,Built-up,85851000,0.09539,2.071648323200594
1995,15,Water,3710700,0.004123,0.08954194398318532
1995,20,Forest,2129255100,2.365839,51.38050526588289
2000,5,Shrubland,28206000,0.03134,0.6806317061443191
2000,7,Grassland,278547300,0.309497,6.721553004356999
2000,8,Cropland,1602192600,1.780214,38.66209611110411
2000,9,Wetland,3990600,0.004434,0.09629613864211585
2000,11,Lichens and mosses,1020600,0.001134,0.024627835187225843
2000,12,Bareland,247500,0.000275,0.005972358621240835
2000,13,Built-up,135238500,0.150265,3.2634053389845605
2000,15,Water,4564800,0.005072,0.1101520106433946
2000,20,Forest,2090083500,2.322315,50.43526549631604
2001,5,Shrubland,28978200,0.032198,0.6992654650425906
2001,7,Grassland,271157400,0.301286,6.543229234760606
2001,8,Cropland,1609281900,1.788091,38.83316617968418
2001,9,Wetland,3392100,0.003769,0.08185388961256986
2001,11,Lichens and mosses,908100,0.001009,0.021913126723025464
2001,12,Bareland,248400,0.000276,0.005994076288954439
2001,13,Built-up,140850000,0.1565,3.3988149971788757
2001,15,Water,5029200,0.005588,0.12135832718361379
2001,20,Forest,2084246100,2.315829,50.29440470352561
2002,5,Shrubland,46422000,0.05158,1.120197300667645
2002,7,Grassland,265671000,0.29519,6.410838332378481
2002,8,Cropland,1613986200,1.793318,38.946684428823175
2002,9,Wetland,3204900,0.003561,0.07733661472814042
2002,11,Lichens and mosses,846000,0.00094,0.020414607650786856
2002,12,Bareland,242100,0.000269,0.005842052614959217
2002,13,Built-up,141304500,0.157005,3.409782419374245
2002,15,Water,5015700,0.005573,0.12103256216790972
2002,20,Forest,2067399000,2.29711,49.887871681594675
2003,5,Shrubland,30527100,0.033919,0.7366415711777011
2003,7,Grassland,264636000,0.29404,6.3858630145078354
2003,8,Cropland,1620214200,1.800238,39.096970689401296
2003,9,Wetland,2935800,0.003262,0.07084303208177309
2003,11,Lichens and mosses,941400,0.001046,0.02271668042842877
2003,12,Bareland,292500,0.000325,0.007058242006920984
2003,13,Built-up,146636100,0.162929,3.5384378829096277
2003,15,Water,5604300,0.006227,0.13523591685260608
2003,20,Forest,2072304000,2.30256,50.0062329706338
2004,5,Shrubland,30797100,0.034219,0.7431568714917822
2004,7,Grassland,261590400,0.290656,6.312370426965004
2004,8,Cropland,1628964000,1.80996,39.30810985491295
2004,9,Wetland,2373300,0.002637,0.0572694897607712
2004,11,Lichens and mosses,827100,0.000919,0.01995853662880119
2004,12,Bareland,315000,0.00035,0.0076011836997610625
2004,13,Built-up,144791100,0.160879,3.4939166640967425
2004,15,Water,6136200,0.006818,0.1480710584713455
2004,20,Forest,2068297200,2.298108,49.90954591397284
