From,To,Count,Area_km2,Resolution,Period
5,5,24310,21.878999999999998,30m,2010-2020
5,7,4375,3.9375,30m,2010-2020
5,8,6232,5.6088,30m,2010-2020
5,9,49,0.0441,30m,2010-2020
5,11,71,0.0639,30m,2010-2020
5,12,20,0.018,30m,2010-2020
5,13,651,0.5859,30m,2010-2020
5,15,11,0.009899999999999999,30m,2010-2020
5,20,6874,6.186599999999999,30m,2010-2020
7,5,5467,4.9203,30m,2010-2020
7,7,234715,211.24349999999998,30m,2010-2020
7,8,31338,28.2042,30m,2010-2020
7,11,90,0.081,30m,2010-2020
7,12,1,0.0009,30m,2010-2020
7,13,453,0.4077,30m,2010-2020
7,20,20093,18.0837,30m,2010-2020
8,5,12850,11.565,30m,2010-2020
8,7,45019,40.5171,30m,2010-2020
8,8,1680848,1512.7631999999999,30m,2010-2020
8,9,66,0.0594,30m,2010-2020
8,11,189,0.1701,30m,2010-2020
8,12,29,0.026099999999999998,30m,2010-2020
8,13,12899,11.6091,30m,2010-2020
8,15,32,0.0288,30m,2010-2020
8,20,52442,47.1978,30m,2010-2020
9,5,43,0.0387,30m,2010-2020
9,8,268,0.2412,30m,2010-2020
9,9,2472,2.2248,30m,2010-2020
9,12,1,0.0009,30m,2010-2020
9,13,58,0.052199999999999996,30m,2010-2020
9,15,411,0.3699,30m,2010-2020
9,20,172,0.1548,30m,2010-2020
11,5,87,0.0783,30m,2010-2020
11,7,293,0.2637,30m,2010-2020
11,8,195,0.1755,30m,2010-2020
11,11,507,0.4563,30m,2010-2020
11,12,2,0.0018,30m,2010-2020
11,13,66,0.0594,30m,2010-2020
11,20,46,0.0414,30m,2010-2020
12,5,32,0.0288,30m,2010-2020
12,8,45,0.0405,30m,2010-2020
12,9,21,0.0189,30m,2010-2020
12,11,4,0.0036,30m,2010-2020
12,12,202,0.1818,30m,2010-2020
12,13,15,0.0135,30m,2010-2020
12,15,36,0.0324,30m,2010-2020
12,20,16,0.0144,30m,2010-2020
13,5,851,0.7659,30m,2010-2020
13,7,534,0.48059999999999997,30m,2010-2020
13,8,16194,14.5746,30m,2010-2020
13,9,12,0.0108,30m,2010-2020
13,11,92,0.0828,30m,2010-2020
13,12,17,0.0153,30m,2010-2020
13,13,151617,136.4553,30m,2010-2020
13,15,2,0.0018,30m,2010-2020
13,20,521,0.4689,30m,2010-2020
15,5,3,0.0027,30m,2010-2020
15,8,31,0.027899999999999998,30m,2010-2020
15,9,244,0.2196,30m,2010-2020
15,12,1,0.0009,30m,2010-2020
15,13,8,0.0072,30m,2010-2020
15,15,5445,4.9005,30m,2010-2020
15,20,47,0.0423,30m,2010-2020
20,5,9679,8.7111,30m,2010-2020
20,7,14319,12.8871,30m,2010-2020
20,8,39275,35.3475,30m,2010-2020
20,9,374,0.3366,30m,2010-2020
20,11,9,0.0081,30m,2010-2020
20,12,19,0.0171,30m,2010-2020
20,13,338,0.30419999999999997,30m,2010-2020
20,15,81,0.07289999999999999,30m,2010-2020
20,20,2220717,1998.6453,30m,2010-2020
