From,To,Count,Area_km2,Resolution,Period
5,5,12024,10.8216,30m,1990-2000
5,7,2187,1.9683,30m,1990-2000
5,8,6875,6.1875,30m,1990-2000
5,9,53,0.0477,30m,1990-2000
5,11,210,0.189,30m,1990-2000
5,12,43,0.0387,30m,1990-2000
5,13,3305,2.9745,30m,1990-2000
5,15,55,0.049499999999999995,30m,1990-2000
5,20,11331,10.197899999999999,30m,1990-2000
7,5,5965,5.3685,30m,1990-2000
7,7,264315,237.8835,30m,1990-2000
7,8,54235,48.811499999999995,30m,1990-2000
7,9,47,0.0423,30m,1990-2000
7,11,425,0.3825,30m,1990-2000
7,13,1655,1.4895,30m,1990-2000
7,15,4,0.0036,30m,1990-2000
7,20,35976,32.3784,30m,1990-2000
8,5,4852,4.3668,30m,1990-2000
8,7,22143,19.9287,30m,1990-2000
8,8,1606941,1446.2468999999999,30m,1990-2000
8,9,1529,1.3760999999999999,30m,1990-2000
8,11,407,0.3663,30m,1990-2000
8,12,115,0.1035,30m,1990-2000
8,13,59173,53.2557,30m,1990-2000
8,15,1340,1.206,30m,1990-2000
8,20,29072,26.1648,30m,1990-2000
9,5,7,0.0063,30m,1990-2000
9,8,24,0.0216,30m,1990-2000
9,9,1903,1.7127,30m,1990-2000
9,13,4,0.0036,30m,1990-2000
9,15,1374,1.2366,30m,1990-2000
9,20,72,0.0648,30m,1990-2000
12,5,19,0.0171,30m,1990-2000
12,8,24,0.0216,30m,1990-2000
12,9,4,0.0036,30m,1990-2000
12,12,15,0.0135,30m,1990-2000
12,13,69,0.062099999999999995,30m,1990-2000
12,15,4,0.0036,30m,1990-2000
12,20,15,0.0135,30m,1990-2000
13,5,383,0.3447,30m,1990-2000
13,7,106,0.0954,30m,1990-2000
13,8,3217,2.8952999999999998,30m,1990-2000
13,11,73,0.0657,30m,1990-2000
13,12,1,0.0009,30m,1990-2000
13,13,85380,76.842,30m,1990-2000
13,20,28,0.0252,30m,1990-2000
15,5,6,0.0054,30m,1990-2000
15,8,8,0.0072,30m,1990-2000
15,9,14,0.0126,30m,1990-2000
15,12,8,0.0072,30m,1990-2000
15,13,2,0.0018,30m,1990-2000
15,15,1841,1.6569,30m,1990-2000
15,20,20,0.018,30m,1990-2000
20,5,8084,7.2756,30m,1990-2000
20,7,20746,18.6714,30m,1990-2000
20,8,108890,98.00099999999999,30m,1990-2000
20,9,884,0.7956,30m,1990-2000
20,11,19,0.0171,30m,1990-2000
20,12,93,0.0837,30m,1990-2000
20,13,677,0.6093,30m,1990-2000
20,15,454,0.40859999999999996,30m,1990-2000
20,20,2245801,2021.2209,30m,1990-2000
5,5,21446,19.3014,30m,2000-2010
5,7,1951,1.7559,30m,2000-2010
5,8,4890,4.401,30m,2000-2010
5,9,10,0.009,30m,2000-2010
5,11,72,0.0648,30m,2000-2010
5,12,51,0.045899999999999996,30m,2000-2010
5,13,654,0.5886,30m,2000-2010
5,15,9,0.0081,30m,2000-2010
5,20,2257,2.0313,30m,2000-2010
7,5,4175,3.7575,30m,2000-2010
7,7,253344,228.0096,30m,2000-2010
7,8,41103,36.9927,30m,2000-2010
7,11,181,0.1629,30m,2000-2010
7,12,3,0.0027,30m,2000-2010
7,13,932,0.8388,30m,2000-2010
7,20,9759,8.7831,30m,2000-2010
8,5,7027,6.3243,30m,2000-2010
8,7,22154,19.9386,30m,2000-2010
8,8,1692854,1523.5686,30m,2000-2010
8,9,68,0.0612,30m,2000-2010
