Year,Shrubland,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest
1992,0.000132,0.001441,0.024991,3e-06,0.000468,0.000494,7.8e-05,0.018428
1993,0.000132,0.001441,0.024988,3e-06,0.000457,0.000508,7.8e-05,0.018428
1994,0.000132,0.001441,0.024986,3e-06,0.000442,0.000525,7.8e-05,0.018428
1995,0.000132,0.00145,0.025055,3e-06,0.000431,0.000548,7.8e-05,0.018338
1996,0.000132,0.001452,0.025088,3e-06,0.000422,0.000568,7.8e-05,0.018292
1997,0.000132,0.001465,0.025151,3e-06,0.000417,0.000583,7.8e-05,0.018206
1998,0.000131,0.001487,0.025402,3e-06,0.000408,0.000607,7.8e-05,0.017919
1999,0.000132,0.001545,0.025842,3e-06,0.000393,0.000639,7.8e-05,0.017403
2000,0.000132,0.001599,0.026176,3e-06,0.000378,0.000662,7.8e-05,0.017007
2001,0.000132,0.001612,0.026341,3e-06,0.000373,0.000669,7.8e-05,0.016827
2002,0.000131,0.001622,0.026335,3e-06,0.000356,0.000691,7.8e-05,0.016819
2003,0.000131,0.001621,0.026277,3e-06,0.000341,0.000716,7.8e-05,0.016868
2004,0.000129,0.001637,0.026321,3e-06,0.000327,0.000742,7.8e-05,0.016798
2005,0.000129,0.001634,0.026235,3e-06,0.000312,0.000777,7.8e-05,0.016867
2006,0.000129,0.001634,0.026215,3e-06,0.000302,0.000807,7.8e-05,0.016867
2007,0.000129,0.001633,0.026109,3e-06,0.000262,0.000902,7.8e-05,0.016919
2008,0.000129,0.00163,0.026039,3e-06,0.000246,0.000947,7.8e-05,0.016963
2009,0.000129,0.001621,0.025948,3e-06,0.000237,0.00098,7.8e-05,0.017039
2010,0.000129,0.001624,0.025968,3e-06,0.000231,0.001001,7.8e-05,0.017001
2011,0.000129,0.001624,0.025953,3e-06,0.000222,0.001023,7.8e-05,0.017003
2012,0.000129,0.001624,0.02597,3e-06,0.000219,0.001042,7.8e-05,0.01697
2013,0.000129,0.001624,0.025937,3e-06,0.000213,0.001072,7.8e-05,0.016979
2014,0.000129,0.001624,0.025842,3e-06,0.000208,0.001103,7.8e-05,0.017048
2015,0.000129,0.001624,0.025818,3e-06,0.000202,0.001133,7.8e-05,0.017048
2016,0.000129,0.001624,0.025806,3e-06,0.000202,0.001133,7.8e-05,0.01706
2017,0.000129,0.001624,0.025796,3e-06,0.0002,0.001138,7.8e-05,0.017067
2018,0.000129,0.001624,0.025783,3e-06,0.0002,0.001139,7.8e-05,0.017079
2019,0.000129,0.001624,0.025757,3e-06,0.0002,0.001139,7.8e-05,0.017105
2020,0.000129,0.001624,0.025757,3e-06,0.0002,0.001139,7.8e-05,0.017105
2021,0.000129,0.001624,0.025755,3e-06,0.000195,0.00115,7.8e-05,0.017101
2022,0.000129,0.001623,0.025744,3e-06,0.000193,0.001159,7.8e-05,0.017106
