From,From_Label,To,To_Label,Count,Area_km2,Period
5,Shrubland,5,Shrubland,504899758,454409.7822,1985-1990
5,Shrubland,7,Grassland,3252643,2927.3787,1985-1990
5,Shrubland,8,Cropland,12548159,11293.3431,1985-1990
5,Shrubland,9,Wetland,644007,579.6063,1985-1990
5,Shrubland,12,Bareland,612650,551.385,1985-1990
5,Shrubland,13,Built-up,344201,309.7809,1985-1990
5,Shrubland,15,Water,141115,127.0035,1985-1990
5,Shrubland,16,Permanent ice and snow,40396,36.3564,1985-1990
5,Shrubland,20,Forest,7932248,7139.0232,1985-1990
7,Grassland,5,Shrubland,3572039,3214.8351,1985-1990
7,Grassland,7,Grassland,563698270,507328.443,1985-1990
7,Grassland,8,Cropland,18380533,16542.4797,1985-1990
7,Grassland,9,Wetland,348793,313.9137,1985-1990
7,Grassland,12,Bareland,1328609,1195.7481,1985-1990
7,Grassland,13,Built-up,306905,276.2145,1985-1990
7,Grassland,15,Water,77100,69.39,1985-1990
7,Grassland,16,Permanent ice and snow,751,0.6759,1985-1990
7,Grassland,20,Forest,3254529,2929.0761,1985-1990
8,Cropland,5,Shrubland,12674439,11406.9951,1985-1990
8,Cropland,7,Grassland,17833575,16050.2175,1985-1990
8,Cropland,8,Cropland,1861165732,1675049.1588,1985-1990
8,Cropland,9,Wetland,1969432,1772.4888,1985-1990
8,Cropland,12,Bareland,1791950,1612.755,1985-1990
8,Cropland,13,Built-up,3274574,2947.1166,1985-1990
8,Cropland,15,Water,811181,730.0629,1985-1990
8,Cropland,16,Permanent ice and snow,2684,2.4156,1985-1990
8,Cropland,20,Forest,15698051,14128.2459,1985-1990
9,Wetland,5,Shrubland,463744,417.3696,1985-1990
9,Wetland,7,Grassland,87898,79.1082,1985-1990
9,Wetland,8,Cropland,1376462,1238.8158,1985-1990
9,Wetland,9,Wetland,23919032,21527.1288,1985-1990
9,Wetland,12,Bareland,276251,248.6259,1985-1990
9,Wetland,13,Built-up,31464,28.3176,1985-1990
9,Wetland,15,Water,1439305,1295.3745,1985-1990
9,Wetland,20,Forest,488354,439.5186,1985-1990
11,Lichens and Mosses,11,Lichens and Mosses,1,0.0009,1985-1990
12,Bareland,5,Shrubland,709903,638.9127,1985-1990
12,Bareland,7,Grassland,2039563,1835.6067,1985-1990
12,Bareland,8,Cropland,2642633,2378.3697,1985-1990
12,Bareland,9,Wetland,1288500,1159.65,1985-1990
12,Bareland,12,Bareland,1227909411,1105118.4699,1985-1990
12,Bareland,13,Built-up,104543,94.0887,1985-1990
12,Bareland,15,Water,284961,256.4649,1985-1990
12,Bareland,16,Permanent ice and snow,42191,37.9719,1985-1990
12,Bareland,20,Forest,12126,10.9134,1985-1990
13,Built-up,5,Shrubland,24,0.0216,1985-1990
