From,To,Count,Area_km2,Period
5,5,2643267,2378.9403,1992-1993
5,13,289,0.2601,1992-1993
7,7,4569752,4112.7768,1992-1993
7,13,288,0.2592,1992-1993
8,8,22527721,20274.9489,1992-1993
8,13,6629,5.9661,1992-1993
9,9,162771,146.4939,1992-1993
9,13,48,0.0432,1992-1993
11,11,2089,1.8801,1992-1993
12,12,14885972,13397.3748,1992-1993
12,13,2970,2.673,1992-1993
13,13,437519,393.7671,1992-1993
15,13,164,0.1476,1992-1993
15,15,39454926,35509.4334,1992-1993
16,16,22194,19.9746,1992-1993
20,13,586,0.5274,1992-1993
20,20,11051080,9945.972,1992-1993
5,5,2642929,2378.6361,1993-1994
5,13,338,0.3042,1993-1994
7,7,4569412,4112.4708,1993-1994
7,13,340,0.306,1993-1994
8,8,22520229,20268.2061,1993-1994
8,13,7492,6.7428,1993-1994
9,9,162734,146.4606,1993-1994
9,13,37,0.0333,1993-1994
11,11,2088,1.8792,1993-1994
11,13,1,0.0009,1993-1994
12,12,14882692,13394.4228,1993-1994
12,13,3280,2.952,1993-1994
13,13,448493,403.6437,1993-1994
15,13,187,0.1683,1993-1994
15,15,39454739,35509.2651,1993-1994
16,16,22194,19.9746,1993-1994
20,13,577,0.5193,1993-1994
20,20,11050503,9945.4527,1993-1994
5,5,2625442,2362.8978,1994-1995
5,7,45,0.0405,1994-1995
5,8,9301,8.3709,1994-1995
5,12,6920,6.228,1994-1995
5,13,303,0.2727,1994-1995
5,15,47,0.0423,1994-1995
5,20,871,0.7839,1994-1995
7,5,766,0.6894,1994-1995
7,7,4564649,4108.1841,1994-1995
7,8,685,0.6165,1994-1995
7,12,995,0.8955,1994-1995
7,13,356,0.3204,1994-1995
7,20,1961,1.7649,1994-1995
8,5,2459,2.2131,1994-1995
8,7,2770,2.493,1994-1995
8,8,22425533,20182.9797,1994-1995
8,9,5,0.0045,1994-1995
8,12,1919,1.7271,1994-1995
8,13,8470,7.623,1994-1995
8,15,76,0.0684,1994-1995
8,20,78997,71.0973,1994-1995
9,5,17,0.0153,1994-1995
9,7,14,0.0126,1994-1995
9,8,871,0.7839,1994-1995
9,9,161554,145.3986,1994-1995
9,13,47,0.0423,1994-1995
9,15,10,0.009,1994-1995
9,20,221,0.1989,1994-1995
11,11,2088,1.8792,1994-1995
12,5,346,0.3114,1994-1995
12,7,830,0.747,1994-1995
12,8,2813,2.5317,1994-1995
12,12,14875371,13387.8339,1994-1995
12,13,3010,2.709,1994-1995
12,15,8,0.0072,1994-1995
12,20,314,0.2826,1994-1995
13,13,460745,414.6705,1994-1995
15,5,242,0.2178,1994-1995
15,7,259,0.2331,1994-1995
15,8,2555,2.2995,1994-1995
15,9,371,0.3339,1994-1995
15,12,779,0.7011,1994-1995
15,13,180,0.162,1994-1995
15,15,39449934,35504.9406,1994-1995
15,20,419,0.3771,1994-1995
16,16,22194,19.9746,1994-1995
20,5,6575,5.9175,1994-1995
20,7,18477,16.6293,1994-1995
20,8,81446,73.3014,1994-1995
20,9,128,0.1152,1994-1995
20,12,2659,2.3931,1994-1995
20,13,683,0.6147,1994-1995
20,15,33,0.0297,1994-1995
20,20,10940502,9846.4518,1994-1995
5,5,2622217,2359.9953,1995-1996
5,8,9294,8.3646,1995-1996
5,12,2939,2.6451,1995-1996
5,13,337,0.3033,1995-1996
5,15,37,0.0333,1995-1996
5,20,1023,0.9207,1995-1996
7,5,1134,1.0206,1995-1996
7,7,4583928,4125.5352,1995-1996
7,8,615,0.5535,1995-1996
7,12,545,0.4905,1995-1996
7,13,392,0.3528,1995-1996
7,15,1,0.0009,1995-1996
7,20,429,0.3861,1995-1996
8,5,463,0.4167,1995-1996
8,7,574,0.5166,1995-1996
8,8,22479823,20231.8407,1995-1996
8,12,731,0.6579,1995-1996
8,13,9023,8.1207,1995-1996
8,15,130,0.117,1995-1996
8,20,32460,29.214,1995-1996
9,5,70,0.063,1995-1996
9,8,166,0.1494,1995-1996
9,9,161630,145.467,1995-1996
9,13,43,0.0387,1995-1996
9,15,11,0.0099,1995-1996
9,20,138,0.1242,1995-1996
11,11,2088,1.8792,1995-1996
12,5,1078,0.9702,1995-1996
12,7,4527,4.0743,1995-1996
12,8,1066,0.9594,1995-1996
12,12,14878827,13390.9443,1995-1996
12,13,3015,2.7135,1995-1996
12,15,48,0.0432,1995-1996
12,20,82,0.0738,1995-1996
13,13,473794,426.4146,1995-1996
15,5,278,0.2502,1995-1996
15,7,274,0.2466,1995-1996
15,8,2240,2.016,1995-1996
15,9,188,0.1692,1995-1996
15,12,743,0.6687,1995-1996
15,13,169,0.1521,1995-1996
15,15,39445470,35500.923,1995-1996
15,20,746,0.6714,1995-1996
16,16,22194,19.9746,1995-1996
20,5,2705,2.4345,1995-1996
20,7,5932,5.3388,1995-1996
20,8,13355,12.0195,1995-1996
20,9,22,0.0198,1995-1996
20,12,2188,1.9692,1995-1996
20,13,720,0.648,1995-1996
20,15,63,0.0567,1995-1996
20,20,10998300,9898.47,1995-1996
5,5,2619802,2357.8218,1996-1997
5,8,4630,4.167,1996-1997
5,12,2779,2.5011,1996-1997
5,13,308,0.2772,1996-1997
5,20,426,0.3834,1996-1997
7,5,747,0.6723,1996-1997
7,7,4592638,4133.3742,1996-1997
7,8,407,0.3663,1996-1997
7,12,610,0.549,1996-1997
7,13,414,0.3726,1996-1997
7,20,419,0.3771,1996-1997
8,5,461,0.4149,1996-1997
8,7,911,0.8199,1996-1997
8,8,22475050,20227.545,1996-1997
8,12,297,0.2673,1996-1997
8,13,9727,8.7543,1996-1997
8,15,74,0.0666,1996-1997
8,20,20039,18.0351,1996-1997
9,5,1,0.0009,1996-1997
9,8,63,0.0567,1996-1997
9,9,161586,145.4274,1996-1997
9,13,62,0.0558,1996-1997
9,20,128,0.1152,1996-1997
11,11,2088,1.8792,1996-1997
12,5,1105,0.9945,1996-1997
12,7,1328,1.1952,1996-1997
12,8,1523,1.3707,1996-1997
12,12,14878870,13390.983,1996-1997
12,13,3076,2.7684,1996-1997
12,15,11,0.0099,1996-1997
12,20,60,0.054,1996-1997
13,13,487493,438.7437,1996-1997
15,5,22,0.0198,1996-1997
15,7,28,0.0252,1996-1997
15,8,207,0.1863,1996-1997
15,9,58,0.0522,1996-1997
15,12,145,0.1305,1996-1997
15,13,149,0.1341,1996-1997
15,15,39445042,35500.5378,1996-1997
15,20,109,0.0981,1996-1997
16,16,22194,19.9746,1996-1997
20,5,1609,1.4481,1996-1997
