Period,From,To,Area_km2
1985-1990,5,5,454409.7822
1985-1990,5,7,2927.3787
1985-1990,5,8,11293.3431
1985-1990,5,9,579.6063
1985-1990,5,12,551.385
1985-1990,5,13,309.7809
1985-1990,5,15,127.0035
1985-1990,5,16,36.3564
1985-1990,5,20,7139.0232
1985-1990,7,5,3214.8351
1985-1990,7,7,507328.443
1985-1990,7,8,16542.4797
1985-1990,7,9,313.9137
1985-1990,7,12,1195.7481
1985-1990,7,13,276.2145
1985-1990,7,15,69.39
1985-1990,7,16,0.6759
1985-1990,7,20,2929.0761
1985-1990,8,5,11406.9951
1985-1990,8,7,16050.2175
1985-1990,8,8,1675049.1588
1985-1990,8,9,1772.4888
1985-1990,8,12,1612.755
1985-1990,8,13,2947.1166
1985-1990,8,15,730.0629
1985-1990,8,16,2.4156
1985-1990,8,20,14128.2459
1985-1990,9,5,417.3696
1985-1990,9,7,79.1082
1985-1990,9,8,1238.8158
1985-1990,9,9,21527.1288
1985-1990,9,12,248.6259
1985-1990,9,13,28.3176
1985-1990,9,15,1295.3745
1985-1990,9,20,439.5186
1985-1990,11,11,0.0009
1985-1990,12,5,638.9127
1985-1990,12,7,1835.6067
1985-1990,12,8,2378.3697
1985-1990,12,9,1159.65
1985-1990,12,12,1105118.4699
1985-1990,12,13,94.0887
1985-1990,12,15,256.4649
1985-1990,12,16,37.9719
1985-1990,12,20,10.9134
1985-1990,13,5,0.0216
1985-1990,13,7,0.1467
1985-1990,13,8,0.7974
1985-1990,13,9,3.1068
1985-1990,13,12,0.0009
1985-1990,13,13,60203.1213
1985-1990,13,15,0.5283
1985-1990,13,16,0.1827
1985-1990,13,20,4.9932
1985-1990,15,5,100.3311
1985-1990,15,7,13.5099
1985-1990,15,8,335.1456
1985-1990,15,9,11424.2256
1985-1990,15,12,163.8792
1985-1990,15,13,31.5378
1985-1990,15,15,3524455.8108
1985-1990,15,16,40.7934
1985-1990,15,20,215.5536
1985-1990,16,5,25.3998
1985-1990,16,7,0.5598
1985-1990,16,8,1.1034
1985-1990,16,9,0.0009
1985-1990,16,12,12.4038
1985-1990,16,13,0.0387
1985-1990,16,15,7.4736
1985-1990,16,16,4115.1753
1985-1990,16,20,5.1291
1985-1990,20,5,6712.2063
1985-1990,20,7,2979.1548
1985-1990,20,8,13822.8039
1985-1990,20,9,546.9813
1985-1990,20,12,7.5357
1985-1990,20,13,206.9307
1985-1990,20,15,103.4721
1985-1990,20,16,22.5162
1985-1990,20,20,1123651.008
1990-1995,5,5,459449.6868
1990-1995,5,7,1928.8773
1990-1995,5,8,8698.6233
1990-1995,5,9,509.7177
1990-1995,5,12,570.6693
1990-1995,5,13,318.1941
1990-1995,5,15,155.0682
1990-1995,5,16,29.322
1990-1995,5,20,5265.6948
1990-1995,7,5,2570.2173
1990-1995,7,7,513333.567
1990-1995,7,8,11785.635
1990-1995,7,9,223.794
1990-1995,7,12,886.3137
1990-1995,7,13,304.2819
1990-1995,7,15,33.6411
1990-1995,7,16,0.6579
1990-1995,7,20,2076.0174
1990-1995,8,5,8357.4288
1990-1995,8,7,10827.4725
1990-1995,8,8,1684927.4427
1990-1995,8,9,1570.032
1990-1995,8,12,1189.7784
1990-1995,8,13,3528.036
1990-1995,8,15,749.1195
1990-1995,8,16,1.4715
1990-1995,8,20,9511.236
1990-1995,9,5,479.2815
1990-1995,9,7,116.388
1990-1995,9,8,1144.5309
1990-1995,9,9,21812.0733
1990-1995,9,12,907.7373
1990-1995,9,13,40.1319
1990-1995,9,15,12383.5653
1990-1995,9,16,0.0018
1990-1995,9,20,443.3922
1990-1995,11,11,0.0009
1990-1995,12,5,470.7369
1990-1995,12,7,1368.4113
1990-1995,12,8,2764.2042
1990-1995,12,9,720.5211
1990-1995,12,12,1103224.7061
1990-1995,12,13,106.4295
1990-1995,12,15,229.0905
1990-1995,12,16,13.2543
1990-1995,12,20,13.4496
1990-1995,13,5,0.0504
1990-1995,13,7,0.0747
1990-1995,13,8,0.7389
1990-1995,13,9,3.1779
1990-1995,13,12,0.0018
1990-1995,13,13,64089.4131
1990-1995,13,15,1.5552
1990-1995,13,16,0.0351
1990-1995,13,20,2.1195
1990-1995,15,5,81.0738
1990-1995,15,7,14.5314
1990-1995,15,8,267.6924
1990-1995,15,9,1275.0012
1990-1995,15,12,112.8789
1990-1995,15,13,24.4116
1990-1995,15,15,3525190.785
1990-1995,15,16,10.3257
1990-1995,15,20,68.8806
1990-1995,16,5,26.4132
1990-1995,16,7,0.5058
1990-1995,16,8,1.4463
1990-1995,16,9,0.0009
1990-1995,16,12,17.1387
1990-1995,16,13,0.1089
1990-1995,16,15,15.7599
1990-1995,16,16,4184.2836
1990-1995,16,20,10.4301
1990-1995,20,5,6397.5384
1990-1995,20,7,2264.7978
1990-1995,20,8,12621.636
1990-1995,20,9,488.2014
1990-1995,20,12,8.5968
1990-1995,20,13,195.2829
1990-1995,20,15,250.8183
1990-1995,20,16,6.0327
1990-1995,20,20,1126290.5559
1995-2000,5,5,420552.2601
1995-2000,5,7,5492.7477
1995-2000,5,8,22722.0813
1995-2000,5,9,2280.888
1995-2000,5,11,416.7558
1995-2000,5,12,1211.3127
1995-2000,5,13,5657.6115
1995-2000,5,15,97.1055
1995-2000,5,16,108.3996
1995-2000,5,20,19292.4945
1995-2000,7,5,10345.698
1995-2000,7,7,469122.6357
1995-2000,7,8,32426.0406
1995-2000,7,9,634.131
1995-2000,7,11,298.9539
1995-2000,7,12,1872.0414
1995-2000,7,13,4272.0975
1995-2000,7,15,27.6804
1995-2000,7,16,2.8395
1995-2000,7,20,10851.21
1995-2000,8,5,20595.1086
1995-2000,8,7,22337.4645
1995-2000,8,8,1623195.7155
1995-2000,8,9,1903.9527
1995-2000,8,11,199.9647
1995-2000,8,12,1708.8597
1995-2000,8,13,28946.4237
1995-2000,8,15,306.7047
1995-2000,8,16,4.7295
1995-2000,8,20,22993.9956
1995-2000,9,5,311.0643
1995-2000,9,7,95.5026
1995-2000,9,8,1086.2604
1995-2000,9,9,23826.3408
1995-2000,9,11,1.3545
1995-2000,9,12,134.5572
1995-2000,9,13,275.3253
1995-2000,9,15,450.855
1995-2000,9,16,0.0108
1995-2000,9,20,421.2441
1995-2000,11,11,0.0009
1995-2000,12,5,1488.4758
1995-2000,12,7,2545.65
1995-2000,12,8,3360.5388
1995-2000,12,9,11257.0776
1995-2000,12,11,45.1521
1995-2000,12,12,1085694.4098
1995-2000,12,13,2070.4077
1995-2000,12,15,128.6073
1995-2000,12,16,50.9247
1995-2000,12,20,263.3283
1995-2000,13,5,890.5518
1995-2000,13,7,932.2587
1995-2000,13,8,7302.258
1995-2000,13,9,210.9825
1995-2000,13,11,12.1644
1995-2000,13,12,159.3342
1995-2000,13,13,58120.0767
1995-2000,13,15,57.4758
1995-2000,13,16,0.3582
1995-2000,13,20,919.656
1995-2000,15,5,147.4182
1995-2000,15,7,24.0444
1995-2000,15,8,218.6775
1995-2000,15,9,3654.6759
1995-2000,15,11,2.9574
1995-2000,15,12,998.4915
1995-2000,15,13,127.1007
1995-2000,15,15,3533554.4697
1995-2000,15,16,56.4876
1995-2000,15,20,225.0783
1995-2000,16,5,42.2469
1995-2000,16,7,1.2447
1995-2000,16,8,2.6676
1995-2000,16,9,0.0414
1995-2000,16,11,0.2763
1995-2000,16,12,44.2845
1995-2000,16,13,6.3504
1995-2000,16,15,38.4669
1995-2000,16,16,4092.75
1995-2000,16,20,17.019
1995-2000,20,5,17021.5065
1995-2000,20,7,4466.8998
1995-2000,20,8,43011.9954
1995-2000,20,9,552.006
1995-2000,20,11,25.5537
1995-2000,20,12,237.0906
1995-2000,20,13,2349.0054
1995-2000,20,15,250.6473
1995-2000,20,16,29.3031
1995-2000,20,20,1075737.1914
2000-2001,5,5,459286.2432
2000-2001,5,7,972.2583
2000-2001,5,8,6971.0454
2000-2001,5,9,421.1352
2000-2001,5,11,56.6262
2000-2001,5,12,260.5347
2000-2001,5,13,828.1782
2000-2001,5,15,40.9842
2000-2001,5,16,43.5213
2000-2001,5,20,2513.7945
2000-2001,7,5,1719.5094
2000-2001,7,7,491698.0449
2000-2001,7,8,8772.6771
2000-2001,7,9,178.3611
2000-2001,7,11,30.816
2000-2001,7,12,685.0314
2000-2001,7,13,781.2531
2000-2001,7,15,3.0321
2000-2001,7,16,1.6371
2000-2001,7,20,1148.0751
2000-2001,8,5,5627.241
2000-2001,8,7,6300.234
2000-2001,8,8,1708165.4436
2000-2001,8,9,860.0445
2000-2001,8,11,56.1483
2000-2001,8,12,448.6302
2000-2001,8,13,6381.9297
2000-2001,8,15,40.428
2000-2001,8,16,1.7721
2000-2001,8,20,5444.3646
2000-2001,9,5,382.7664
2000-2001,9,7,178.3782
2000-2001,9,8,853.1649
2000-2001,9,9,39676.0392
2000-2001,9,11,0.8541
2000-2001,9,12,1612.5759
2000-2001,9,13,75.1437
2000-2001,9,15,1130.7303
2000-2001,9,16,0.0387
2000-2001,9,20,410.3973
2000-2001,11,5,48.2373
2000-2001,11,7,27.8208
2000-2001,11,8,53.8803
2000-2001,11,9,1.2501
2000-2001,11,11,840.8601
2000-2001,11,12,10.9656
2000-2001,11,13,7.803
2000-2001,11,15,0.8046
2000-2001,11,16,0.3105
2000-2001,11,20,11.2014
2000-2001,12,5,344.3175
2000-2001,12,7,677.8404
2000-2001,12,8,778.1265
2000-2001,12,9,1067.409
2000-2001,12,11,6.039
2000-2001,12,12,1088717.2794
2000-2001,12,13,331.8489
2000-2001,12,15,28.395
2000-2001,12,16,41.5269
2000-2001,12,20,67.5945
2000-2001,13,5,772.947
2000-2001,13,7,592.0227
2000-2001,13,8,4543.2801
2000-2001,13,9,74.4786
2000-2001,13,11,7.1433
2000-2001,13,12,231.7131
2000-2001,13,13,95028.786
2000-2001,13,15,19.7649
2000-2001,13,16,3.0951
2000-2001,13,20,551.2113
2000-2001,15,5,43.056
2000-2001,15,7,7.3071
2000-2001,15,8,56.5587
2000-2001,15,9,1095.3828
2000-2001,15,11,2.4732
2000-2001,15,12,84.7125
2000-2001,15,13,27.3204
2000-2001,15,15,3533480.5536
